p,m,sigma,rep,inhull,s_type,first_extinction
1,10,NA,139,NA,1,253.6318
1,10,NA,139,NA,2,253.6318
1,10,NA,140,NA,1,165.2844
1,10,NA,140,NA,2,165.2844
1,10,NA,141,NA,1,230.1512
1,10,NA,141,NA,2,230.1512
1,10,NA,142,NA,1,210.3706
1,10,NA,142,NA,2,210.3706
1,10,NA,143,NA,1,95.743
1,10,NA,143,NA,2,95.743
1,10,NA,144,NA,1,212.569
1,10,NA,144,NA,2,212.569
1,10,NA,145,NA,1,279.2756
1,10,NA,145,NA,2,279.2756
1,10,NA,146,NA,1,186.2132
1,10,NA,146,NA,2,186.2132
1,10,NA,147,NA,1,230.4512
1,10,NA,147,NA,2,230.4512
1,10,NA,148,NA,1,140.0944
1,10,NA,148,NA,2,140.0944
1,10,NA,149,NA,1,272.4622
1,10,NA,149,NA,2,272.4622
1,10,NA,150,NA,1,208.4866
1,10,NA,150,NA,2,208.4866
1,10,NA,151,NA,1,78.7704
1,10,NA,151,NA,2,78.7704
1,10,NA,152,NA,1,137.8408
1,10,NA,152,NA,2,137.8408
1,10,NA,153,NA,1,211.8142
1,10,NA,153,NA,2,211.8142
1,10,NA,154,NA,1,345.8248
1,10,NA,154,NA,2,345.8248
1,10,NA,155,NA,1,232.6914
1,10,NA,155,NA,2,232.6914
1,10,NA,156,NA,1,123.463
1,10,NA,156,NA,2,123.463
1,10,NA,157,NA,1,113.8496
1,10,NA,157,NA,2,113.8496
1,10,NA,158,NA,1,200.9908
1,10,NA,158,NA,2,200.9908
1,10,NA,159,NA,1,227.4442
1,10,NA,159,NA,2,227.4442
1,10,NA,160,NA,1,162.3284
1,10,NA,160,NA,2,162.3284
1,10,NA,161,NA,1,104.7974
1,10,NA,161,NA,2,104.7974
1,10,NA,162,NA,1,147.4824
1,10,NA,162,NA,2,147.4824
1,10,NA,163,NA,1,204.7714
1,10,NA,163,NA,2,204.7714
1,10,NA,164,NA,1,67.804
1,10,NA,164,NA,2,67.804
1,10,NA,165,NA,1,177.8678
1,10,NA,165,NA,2,177.8678
1,10,NA,166,NA,1,328.182
1,10,NA,166,NA,2,328.182
1,10,NA,167,NA,1,102.7476
1,10,NA,167,NA,2,102.7476
1,10,NA,168,NA,1,190.3258
1,10,NA,168,NA,2,190.3258
1,10,NA,169,NA,1,178.6252
1,10,NA,169,NA,2,178.6252
1,10,NA,170,NA,1,115.2752
1,10,NA,170,NA,2,115.2752
1,10,NA,171,NA,1,120.265
1,10,NA,171,NA,2,120.265
1,10,NA,172,NA,1,232.8262
1,10,NA,172,NA,2,232.8262
1,10,NA,173,NA,1,133.2276
1,10,NA,173,NA,2,133.2276
1,10,NA,174,NA,1,194.5156
1,10,NA,174,NA,2,194.5156
1,10,NA,175,NA,1,241.6488
1,10,NA,175,NA,2,241.6488
1,10,NA,176,NA,1,109.526
1,10,NA,176,NA,2,109.526
1,10,NA,177,NA,1,233.8584
1,10,NA,177,NA,2,233.8584
1,10,NA,178,NA,1,147.736
1,10,NA,178,NA,2,147.736
1,10,NA,179,NA,1,545.0932
1,10,NA,179,NA,2,545.0932
1,10,NA,180,NA,1,172.3386
1,10,NA,180,NA,2,172.3386
1,10,NA,181,NA,1,163.6536
1,10,NA,181,NA,2,163.6536
1,10,NA,182,NA,1,286.772
1,10,NA,182,NA,2,286.772
1,10,NA,183,NA,1,103.2446
1,10,NA,183,NA,2,103.2446
1,10,NA,184,NA,1,328.0546
1,10,NA,184,NA,2,328.0546
1,10,NA,185,NA,1,197.8578
1,10,NA,185,NA,2,197.8578
1,10,NA,186,NA,1,100.3246
1,10,NA,186,NA,2,100.3246
1,10,NA,187,NA,1,222.281
1,10,NA,187,NA,2,222.281
1,10,NA,188,NA,1,193.9116
1,10,NA,188,NA,2,193.9116
1,10,NA,189,NA,1,191.904
1,10,NA,189,NA,2,191.904
1,10,NA,190,NA,1,183.4368
1,10,NA,190,NA,2,183.4368
1,10,NA,191,NA,1,156.1768
1,10,NA,191,NA,2,156.1768
1,10,NA,192,NA,1,279.6038
1,10,NA,192,NA,2,279.6038
1,10,NA,193,NA,1,146.7026
1,10,NA,193,NA,2,146.7026
1,10,NA,194,NA,1,184.992
1,10,NA,194,NA,2,184.992
1,10,NA,195,NA,1,155.544
1,10,NA,195,NA,2,155.544
1,10,NA,196,NA,1,220.0554
1,10,NA,196,NA,2,220.0554
1,10,NA,197,NA,1,76.7524
1,10,NA,197,NA,2,76.7524
1,10,NA,198,NA,1,203.1766
1,10,NA,198,NA,2,203.1766
1,10,NA,199,NA,1,132.2508
1,10,NA,199,NA,2,132.2508
1,10,NA,200,NA,1,389.6094
1,10,NA,200,NA,2,389.6094
1,10,NA,201,NA,1,205.6278
1,10,NA,201,NA,2,205.6278
1,10,NA,202,NA,1,217.3648
1,10,NA,202,NA,2,217.3648
1,10,NA,203,NA,1,97.6264
1,10,NA,203,NA,2,97.6264
1,10,NA,204,NA,1,381.9004
1,10,NA,204,NA,2,381.9004
1,10,NA,205,NA,1,243.4146
1,10,NA,205,NA,2,243.4146
1,10,NA,206,NA,1,263.5816
1,10,NA,206,NA,2,263.5816
1,10,NA,207,NA,1,113.9408
1,10,NA,207,NA,2,113.9408
1,10,NA,208,NA,1,168.0062
1,10,NA,208,NA,2,168.0062
1,10,NA,209,NA,1,269.0844
1,10,NA,209,NA,2,269.0844
1,10,NA,210,NA,1,225.6608
1,10,NA,210,NA,2,225.6608
1,10,NA,211,NA,1,208.7036
1,10,NA,211,NA,2,208.7036
1,10,NA,212,NA,1,334.1164
1,10,NA,212,NA,2,334.1164
1,10,NA,213,NA,1,132.0174
1,10,NA,213,NA,2,132.0174
1,10,NA,214,NA,1,124.7964
1,10,NA,214,NA,2,124.7964
1,10,NA,215,NA,1,140.4348
1,10,NA,215,NA,2,140.4348
1,10,NA,216,NA,1,175.6274
1,10,NA,216,NA,2,175.6274
1,10,NA,217,NA,1,295.2808
1,10,NA,217,NA,2,295.2808
1,10,NA,218,NA,1,108.741
1,10,NA,218,NA,2,108.741
1,10,NA,219,NA,1,132.6938
1,10,NA,219,NA,2,132.6938
1,10,NA,220,NA,1,191.0734
1,10,NA,220,NA,2,191.0734
1,10,NA,221,NA,1,374.4944
1,10,NA,221,NA,2,374.4944
1,10,NA,222,NA,1,95.5506
1,10,NA,222,NA,2,95.5506
1,10,NA,223,NA,1,265.531
1,10,NA,223,NA,2,265.531
1,10,NA,224,NA,1,188.2922
1,10,NA,224,NA,2,188.2922
1,10,NA,225,NA,1,363.0172
1,10,NA,225,NA,2,363.0172
1,10,NA,226,NA,1,161.4458
1,10,NA,226,NA,2,161.4458
1,10,NA,227,NA,1,126.0612
1,10,NA,227,NA,2,126.0612
1,10,NA,228,NA,1,139.5498
1,10,NA,228,NA,2,139.5498
1,10,NA,229,NA,1,235.9654
1,10,NA,229,NA,2,235.9654
1,10,NA,230,NA,1,92.9064
1,10,NA,230,NA,2,92.9064
1,10,NA,231,NA,1,327.154
1,10,NA,231,NA,2,327.154
1,10,NA,232,NA,1,144.247
1,10,NA,232,NA,2,144.247
1,10,NA,233,NA,1,118.0738
1,10,NA,233,NA,2,118.0738
1,10,NA,234,NA,1,119.7704
1,10,NA,234,NA,2,119.7704
1,10,NA,235,NA,1,233.1646
1,10,NA,235,NA,2,233.1646
1,10,NA,236,NA,1,132.4556
1,10,NA,236,NA,2,132.4556
1,10,NA,237,NA,1,126.6906
1,10,NA,237,NA,2,126.6906
1,10,NA,238,NA,1,168.362
1,10,NA,238,NA,2,168.362
1,10,NA,239,NA,1,177.8374
1,10,NA,239,NA,2,177.8374
1,10,NA,240,NA,1,236.3852
1,10,NA,240,NA,2,236.3852
1,10,NA,241,NA,1,160.4532
1,10,NA,241,NA,2,160.4532
1,10,NA,242,NA,1,165.2026
1,10,NA,242,NA,2,165.2026
1,10,NA,243,NA,1,183.474
1,10,NA,243,NA,2,183.474
1,10,NA,244,NA,1,324.5612
1,10,NA,244,NA,2,324.5612
1,10,NA,245,NA,1,218.3708
1,10,NA,245,NA,2,218.3708
1,10,NA,246,NA,1,153.9584
1,10,NA,246,NA,2,153.9584
1,10,NA,247,NA,1,176.2644
1,10,NA,247,NA,2,176.2644
1,10,NA,248,NA,1,143.9966
1,10,NA,248,NA,2,143.9966
1,10,NA,249,NA,1,250.5454
1,10,NA,249,NA,2,250.5454
1,10,NA,250,NA,1,348.3664
1,10,NA,250,NA,2,348.3664
1,10,NA,251,NA,1,162.2778
1,10,NA,251,NA,2,162.2778
1,10,NA,252,NA,1,262.397
1,10,NA,252,NA,2,262.397
1,10,NA,253,NA,1,170.2464
1,10,NA,253,NA,2,170.2464
1,10,NA,254,NA,1,258.1078
1,10,NA,254,NA,2,258.1078
1,10,NA,255,NA,1,79.2276
1,10,NA,255,NA,2,79.2276
1,10,NA,256,NA,1,96.6524
1,10,NA,256,NA,2,96.6524
1,10,NA,257,NA,1,427.0612
1,10,NA,257,NA,2,427.0612
1,10,NA,258,NA,1,138.9572
1,10,NA,258,NA,2,138.9572
1,10,NA,259,NA,1,354.237
1,10,NA,259,NA,2,354.237
1,10,NA,260,NA,1,174.87
1,10,NA,260,NA,2,174.87
1,10,NA,261,NA,1,418.3988
1,10,NA,261,NA,2,418.3988
1,10,NA,262,NA,1,256.2196
1,10,NA,262,NA,2,256.2196
1,10,NA,263,NA,1,143.398
1,10,NA,263,NA,2,143.398
1,10,NA,264,NA,1,257.5686
1,10,NA,264,NA,2,257.5686
1,10,NA,265,NA,1,195.828
1,10,NA,265,NA,2,195.828
1,10,NA,266,NA,1,192.0774
1,10,NA,266,NA,2,192.0774
1,10,NA,267,NA,1,145.0302
1,10,NA,267,NA,2,145.0302
1,10,NA,268,NA,1,135.2684
1,10,NA,268,NA,2,135.2684
1,10,NA,269,NA,1,142.8254
1,10,NA,269,NA,2,142.8254
1,10,NA,270,NA,1,126.9572
1,10,NA,270,NA,2,126.9572
1,10,NA,271,NA,1,278.2074
1,10,NA,271,NA,2,278.2074
1,10,NA,272,NA,1,117.3058
1,10,NA,272,NA,2,117.3058
1,10,NA,273,NA,1,193.018
1,10,NA,273,NA,2,193.018
1,10,NA,274,NA,1,232.7538
1,10,NA,274,NA,2,232.7538
1,10,NA,275,NA,1,175.3598
1,10,NA,275,NA,2,175.3598
1,10,NA,276,NA,1,166.772
1,10,NA,276,NA,2,166.772
1,10,NA,277,NA,1,213.6662
1,10,NA,277,NA,2,213.6662
1,10,NA,278,NA,1,182.0642
1,10,NA,278,NA,2,182.0642
1,10,NA,279,NA,1,64.292
1,10,NA,279,NA,2,64.292
1,10,NA,280,NA,1,160.7876
1,10,NA,280,NA,2,160.7876
1,10,NA,281,NA,1,140.0632
1,10,NA,281,NA,2,140.0632
1,10,NA,282,NA,1,360.8868
1,10,NA,282,NA,2,360.8868
1,10,NA,283,NA,1,112.2092
1,10,NA,283,NA,2,112.2092
1,10,NA,284,NA,1,221.4022
1,10,NA,284,NA,2,221.4022
1,10,NA,285,NA,1,167.445
1,10,NA,285,NA,2,167.445
1,10,NA,286,NA,1,278.5164
1,10,NA,286,NA,2,278.5164
1,10,NA,287,NA,1,476.6596
1,10,NA,287,NA,2,476.6596
1,10,NA,288,NA,1,136.9388
1,10,NA,288,NA,2,136.9388
1,10,NA,289,NA,1,284.1806
1,10,NA,289,NA,2,284.1806
1,10,NA,290,NA,1,278.5158
1,10,NA,290,NA,2,278.5158
1,10,NA,291,NA,1,176.765
1,10,NA,291,NA,2,176.765
1,10,NA,292,NA,1,173.3644
1,10,NA,292,NA,2,173.3644
1,10,NA,293,NA,1,215.6796
1,10,NA,293,NA,2,215.6796
1,10,NA,294,NA,1,353.7166
1,10,NA,294,NA,2,353.7166
1,10,NA,295,NA,1,108.8188
1,10,NA,295,NA,2,108.8188
1,10,NA,296,NA,1,163.5538
1,10,NA,296,NA,2,163.5538
1,10,NA,297,NA,1,150.6152
1,10,NA,297,NA,2,150.6152
1,10,NA,298,NA,1,218.9638
1,10,NA,298,NA,2,218.9638
1,10,NA,299,NA,1,259.6648
1,10,NA,299,NA,2,259.6648
1,10,NA,300,NA,1,105.8908
1,10,NA,300,NA,2,105.8908
1,10,NA,301,NA,1,271.8856
1,10,NA,301,NA,2,271.8856
1,10,NA,302,NA,1,262.4576
1,10,NA,302,NA,2,262.4576
1,10,NA,303,NA,1,164.4828
1,10,NA,303,NA,2,164.4828
1,10,NA,304,NA,1,188.0044
1,10,NA,304,NA,2,188.0044
1,10,NA,305,NA,1,138.0914
1,10,NA,305,NA,2,138.0914
1,10,NA,306,NA,1,182.684
1,10,NA,306,NA,2,182.684
1,10,NA,307,NA,1,121.2344
1,10,NA,307,NA,2,121.2344
1,10,NA,308,NA,1,213.3138
1,10,NA,308,NA,2,213.3138
1,10,NA,309,NA,1,294.5306
1,10,NA,309,NA,2,294.5306
1,10,NA,310,NA,1,179.0362
1,10,NA,310,NA,2,179.0362
1,10,NA,311,NA,1,283.8488
1,10,NA,311,NA,2,283.8488
1,10,NA,312,NA,1,165.1264
1,10,NA,312,NA,2,165.1264
1,10,NA,313,NA,1,104.8966
1,10,NA,313,NA,2,104.8966
1,10,NA,314,NA,1,118.9462
1,10,NA,314,NA,2,118.9462
1,10,NA,315,NA,1,103.792
1,10,NA,315,NA,2,103.792
1,10,NA,316,NA,1,98.7058
1,10,NA,316,NA,2,98.7058
1,10,NA,317,NA,1,204.206
1,10,NA,317,NA,2,204.206
1,10,NA,318,NA,1,424.0672
1,10,NA,318,NA,2,424.0672
1,10,NA,319,NA,1,101.4186
1,10,NA,319,NA,2,101.4186
1,10,NA,320,NA,1,114.1382
1,10,NA,320,NA,2,114.1382
1,10,NA,321,NA,1,111.81
1,10,NA,321,NA,2,111.81
1,10,NA,322,NA,1,125.6896
1,10,NA,322,NA,2,125.6896
1,10,NA,323,NA,1,343.5148
1,10,NA,323,NA,2,343.5148
1,10,NA,324,NA,1,215.1502
1,10,NA,324,NA,2,215.1502
1,10,NA,325,NA,1,315.0402
1,10,NA,325,NA,2,315.0402
1,10,NA,326,NA,1,157.3138
1,10,NA,326,NA,2,157.3138
1,10,NA,327,NA,1,208.3156
1,10,NA,327,NA,2,208.3156
1,10,NA,328,NA,1,190.0688
1,10,NA,328,NA,2,190.0688
1,10,NA,329,NA,1,167.6026
1,10,NA,329,NA,2,167.6026
1,10,NA,330,NA,1,259.4714
1,10,NA,330,NA,2,259.4714
1,10,NA,331,NA,1,301.4976
1,10,NA,331,NA,2,301.4976
1,10,NA,332,NA,1,262.7742
1,10,NA,332,NA,2,262.7742
1,10,NA,333,NA,1,289.5416
1,10,NA,333,NA,2,289.5416
1,10,NA,334,NA,1,197.7298
1,10,NA,334,NA,2,197.7298
1,10,NA,335,NA,1,123.877
1,10,NA,335,NA,2,123.877
1,10,NA,336,NA,1,225.4074
1,10,NA,336,NA,2,225.4074
1,10,NA,337,NA,1,225.0858
1,10,NA,337,NA,2,225.0858
1,10,NA,338,NA,1,71.2614
1,10,NA,338,NA,2,71.2614
1,10,NA,339,NA,1,162.0498
1,10,NA,339,NA,2,162.0498
1,10,NA,340,NA,1,97.451
1,10,NA,340,NA,2,97.451
1,10,NA,341,NA,1,66.7948
1,10,NA,341,NA,2,66.7948
1,10,NA,342,NA,1,311.139
1,10,NA,342,NA,2,311.139
1,10,NA,343,NA,1,310.085
1,10,NA,343,NA,2,310.085
1,10,NA,344,NA,1,157.0594
1,10,NA,344,NA,2,157.0594
1,10,NA,345,NA,1,151.0208
1,10,NA,345,NA,2,151.0208
1,10,NA,346,NA,1,234.8346
1,10,NA,346,NA,2,234.8346
1,10,NA,347,NA,1,296.7942
1,10,NA,347,NA,2,296.7942
1,10,NA,348,NA,1,243.5176
1,10,NA,348,NA,2,243.5176
1,10,NA,349,NA,1,131.7534
1,10,NA,349,NA,2,131.7534
1,10,NA,350,NA,1,168.4244
1,10,NA,350,NA,2,168.4244
1,10,NA,351,NA,1,218.4376
1,10,NA,351,NA,2,218.4376
1,10,NA,352,NA,1,245.2746
